City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,URL
Busselton,AU,-33.65,115.33,65.36,100,20,5.82,"http://api.openweathermap.org/data/2.5/weather?q=busselton,au&units=imperial&appid=InsertKey"
Hilo,US,19.73,-155.09,64.65,73,75,14.99,"http://api.openweathermap.org/data/2.5/weather?q=hilo,us&units=imperial&appid=InsertKey"
Thompson,CA,55.74,-97.86,1.4,84,90,2.24,"http://api.openweathermap.org/data/2.5/weather?q=thompson,ca&units=imperial&appid=InsertKey"
Saint George,BM,32.38,-64.68,66.2,63,75,28.86,"http://api.openweathermap.org/data/2.5/weather?q=saint george,bm&units=imperial&appid=InsertKey"
Albany,AU,-35.02,117.89,65.09,78,0,4.81,"http://api.openweathermap.org/data/2.5/weather?q=albany,au&units=imperial&appid=InsertKey"
Upernavik,GL,72.79,-56.15,23.02,100,80,4.85,"http://api.openweathermap.org/data/2.5/weather?q=upernavik,gl&units=imperial&appid=InsertKey"
Kahului,US,20.89,-156.47,75.02,54,40,17.22,"http://api.openweathermap.org/data/2.5/weather?q=kahului,us&units=imperial&appid=InsertKey"
Burnie,AU,-41.07,145.92,64.91,93,8,18.16,"http://api.openweathermap.org/data/2.5/weather?q=burnie,au&units=imperial&appid=InsertKey"
Nyurba,RU,63.28,118.33,-16.95,74,68,3.02,"http://api.openweathermap.org/data/2.5/weather?q=nyurba,ru&units=imperial&appid=InsertKey"
Hasaki,JP,35.73,140.83,27.72,51,20,9.17,"http://api.openweathermap.org/data/2.5/weather?q=hasaki,jp&units=imperial&appid=InsertKey"
Roseburg,US,43.22,-123.34,49.78,93,75,3.36,"http://api.openweathermap.org/data/2.5/weather?q=roseburg,us&units=imperial&appid=InsertKey"
Stornoway,GB,58.21,-6.39,35.6,80,68,8.05,"http://api.openweathermap.org/data/2.5/weather?q=stornoway,gb&units=imperial&appid=InsertKey"
Swellendam,ZA,-34.02,20.44,62.6,88,92,4.7,"http://api.openweathermap.org/data/2.5/weather?q=swellendam,za&units=imperial&appid=InsertKey"
Lebu,CL,-37.62,-73.65,56.59,98,8,9.95,"http://api.openweathermap.org/data/2.5/weather?q=lebu,cl&units=imperial&appid=InsertKey"
Marsa Matruh,EG,31.35,27.25,59.0,77,40,9.17,"http://api.openweathermap.org/data/2.5/weather?q=marsa matruh,eg&units=imperial&appid=InsertKey"
Ushuaia,AR,-54.8,-68.3,59.0,44,75,12.75,"http://api.openweathermap.org/data/2.5/weather?q=ushuaia,ar&units=imperial&appid=InsertKey"
Muncar,ID,-8.43,114.33,79.54,100,0,2.24,"http://api.openweathermap.org/data/2.5/weather?q=muncar,id&units=imperial&appid=InsertKey"
Puerto Colombia,CO,10.99,-74.95,86.0,74,0,4.7,"http://api.openweathermap.org/data/2.5/weather?q=puerto colombia,co&units=imperial&appid=InsertKey"
Ancud,CL,-41.87,-73.82,55.82,98,92,11.18,"http://api.openweathermap.org/data/2.5/weather?q=ancud,cl&units=imperial&appid=InsertKey"
Pevek,RU,69.7,170.31,17.84,86,88,24.76,"http://api.openweathermap.org/data/2.5/weather?q=pevek,ru&units=imperial&appid=InsertKey"
Goure,NE,13.98,10.27,73.06,45,8,12.57,"http://api.openweathermap.org/data/2.5/weather?q=goure,ne&units=imperial&appid=InsertKey"
Ayan,RU,56.45,138.17,-12.04,100,0,8.84,"http://api.openweathermap.org/data/2.5/weather?q=ayan,ru&units=imperial&appid=InsertKey"
Hermanus,ZA,-34.42,19.23,57.62,98,92,2.24,"http://api.openweathermap.org/data/2.5/weather?q=hermanus,za&units=imperial&appid=InsertKey"
Mbarara,UG,-0.61,30.65,56.41,89,0,2.73,"http://api.openweathermap.org/data/2.5/weather?q=mbarara,ug&units=imperial&appid=InsertKey"
Saint-Augustin,CA,51.23,-58.65,43.76,87,92,31.99,"http://api.openweathermap.org/data/2.5/weather?q=saint-augustin,ca&units=imperial&appid=InsertKey"
Kodiak,US,57.79,-152.41,42.8,75,40,9.17,"http://api.openweathermap.org/data/2.5/weather?q=kodiak,us&units=imperial&appid=InsertKey"
Dikson,RU,73.51,80.55,-7.63,100,92,22.15,"http://api.openweathermap.org/data/2.5/weather?q=dikson,ru&units=imperial&appid=InsertKey"
Chokurdakh,RU,70.63,147.92,-14.34,67,56,4.25,"http://api.openweathermap.org/data/2.5/weather?q=chokurdakh,ru&units=imperial&appid=InsertKey"
Sioux Lookout,CA,50.1,-91.92,1.42,83,20,3.51,"http://api.openweathermap.org/data/2.5/weather?q=sioux lookout,ca&units=imperial&appid=InsertKey"
Flinders,AU,-34.58,150.86,98.6,19,0,19.46,"http://api.openweathermap.org/data/2.5/weather?q=flinders,au&units=imperial&appid=InsertKey"
