Date of Query,Time to Generate (s),Size,Iteration Count,File
12/13/17 17:32,25.77636003,50,2,gen_data/n50weather_13122017173239.csv
12/13/17 17:33,32.88850784,50,3,gen_data/n50weather_13122017173329.csv
12/13/17 17:35,58.41022801,100,7,gen_data/n100weather_13122017173544.csv
12/13/17 17:43,420.831012,500,16,gen_data/n500weather_13122017174321.csv
12/13/17 18:08,458.3726048,500,17,gen_data/n500weather_13122017180812.csv
12/13/17 19:07,409.1926463,500,17,gen_data/n500weather_13122017190722.csv
12/13/17 19:52,171.9540529,100,5,gen_data/n100weather_13122017195220.csv
12/13/17 19:55,149.9221051,100,4,gen_data/n100weather_13122017195519.csv
12/13/17 21:22,148.8142371,100,8,gen_data/n100weather_13122017212206.csv
12/13/17 21:28,162.8187518,100,7,gen_data/n100weather_13122017212849.csv
12/13/17 21:44,130.723881,100,6,gen_data/n100weather_13122017214423.csv
12/13/17 21:53,11.06597829,10,2,gen_data/n10weather_13122017215337.csv
12/13/17 21:56,145.0036423,100,7,gen_data/n100weather_13122017215621.csv
12/13/17 22:17,1225.715809,500,16,gen_data/n500weather_13122017221704.csv13 Dec 2017 22:40:01,1159.4143443107605,500,21,gen_data/n500weather_13122017224001.csv
13 Dec 2017 23:03:41,1216.3308050632477,500,15,gen_data/n500weather_13122017230341.csv
13 Dec 2017 23:11:46,310.77527594566345,500,16,gen_data/n500weather_13122017231146.csv
13 Dec 2017 23:24:28,327.6450848579407,500,15,gen_data/n500weather_13122017232428.csv
